frame,R1,R2,R3
1,1.55192536169814,1.55192536169814,1.55192536169814
2,1.53679215428157,1.47540703120663,1.5063239786259
3,1.52473335265539,1.51282810103213,1.47994455299264
4,1.51430736426269,1.51116204103991,1.50512844611144
5,1.5215322113993,1.48031723784525,1.5203063078995
6,1.54098632769472,1.444879049815,1.49650337951158
7,1.4639332791265,1.52791553391167,1.54151662036067
8,1.44173285936971,1.47310960841129,1.53908807608884
9,1.44689288377817,1.44930950816215,1.45325659352172
10,1.42675184497066,1.36517129035379,1.53564704420557
11,1.41455951749277,1.3265292038487,1.5523515844082
12,1.39996108147123,1.34436724978877,1.55013522630617
13,1.34193781432961,1.32335756337106,1.56913791230066
14,1.38147264318708,1.34033831789815,1.56937949992048
15,1.37092305946389,1.34316543229945,1.53719054902725
16,1.40705473164985,1.41621318109092,1.55128160764826
17,1.40470668335113,1.37627132313733,1.50816105145063
18,1.43139293935536,1.37144558374952,1.55127119254189
19,1.44775258294747,1.39081523088871,1.50563639235381
20,1.35945203625621,1.3396124644692,1.53535513556372
21,1.44176884262474,1.37852783971316,1.53816369058347
22,1.38823599065593,1.3909314447831,1.55200703393191
23,1.42565942807136,1.3667482856852,1.56046778760449
24,1.40778538623234,1.39860089244852,1.56456305117635
25,1.39546611826979,1.39934041187004,1.53123764985622
26,1.44314037225225,1.38459470805943,1.53391882102746
27,1.43454753542823,1.41562880188,1.51321230507922
28,1.41175731178765,1.45472768162371,1.56611980939535
29,1.40044908785202,1.42300464208512,1.53473483870249
30,1.41792941174738,1.44081426840374,1.53831526625747
31,1.45509610309552,1.43676433685539,1.56186435855659
32,1.3745790619587,1.42053131157961,1.53526342725067
33,1.35358241850886,1.40261576363253,1.55970475462188
34,1.41524817211757,1.35680767844369,1.53142656776434
35,1.44401362074422,1.39821004337439,1.56006853244412
36,1.4843329685484,1.38796053976386,1.49657421898237
37,1.39749122992316,1.37434184877151,1.52798233155301
38,1.39415488342283,1.44559438093508,1.55286900840828
39,1.39687861307628,1.41591319355387,1.55732337170948
40,1.39821856803064,1.42172052032253,1.56328241899046
41,1.38038608092879,1.48964022846895,1.55434340646458
42,1.41773949587547,1.50945002948192,1.55009261091406
43,1.35792802413187,1.45376490909852,1.55444888654068
44,1.41269763938626,1.47632861492624,1.55705558391037
45,1.34011640101592,1.48067358064017,1.49969082552885
46,1.37693100067167,1.48236206363722,1.56164101661577
47,1.32707082677796,1.45449471014778,1.51924635685656
48,1.35028684576058,1.47109652465154,1.49068215788534
49,1.36137731149304,1.43508115523174,1.54266155795275
50,1.36881442552783,1.49229135957047,1.55743294468458
51,1.32190404747949,1.50585064955629,1.52323266575897
52,1.40298924243904,1.47648107657891,1.53967271745413
53,1.39546032914802,1.49510426618545,1.51564806253028
54,1.39082725686776,1.4925563475036,1.48341417060024
55,1.39071839717099,1.47616998171401,1.56384173139605
56,1.42604877075016,1.45601263344782,1.54711822146689
57,1.40118763925965,1.5321693740178,1.56362439043999
58,1.41372739134628,1.49713458448839,1.54177859254339
59,1.39812541009148,1.5276557936525,1.52497557239676
60,1.34393451771308,1.532911405758,1.51002724660766
