frame,R1,R2,R3
1,1.28544399574744,1.28544399574744,1.28544399574744
2,1.33772873560008,1.21791420494984,1.14964054928185
3,1.08113982261925,1.16780050758503,1.19151510071337
4,1.30793133946169,1.13259302814251,1.24820296797521
5,1.19350474347249,1.15540273556912,1.24544428980691
6,1.13457659297821,1.04926452548423,1.18306293582951
7,1.16711527968217,1.05847454257154,1.23086043591013
8,1.17446587306792,1.26199256363617,1.19714538382237
9,1.30286166038742,1.16599958066797,1.27305942801574
10,1.16351881894847,1.20743911848753,1.01477852748446
11,1.21432518549042,1.1804106252144,1.19909063817198
12,1.10550949494534,1.06632260006085,1.12629368340778
13,1.28856558421569,1.04391077375474,1.29378750113342
14,1.20471924148788,1.17182323476483,1.23621033279336
15,1.40540279412841,1.03144236605144,1.33447570081673
16,1.20966727824791,1.26672664697643,1.34019093375588
17,1.12528711482392,1.17844844030696,1.37253075112025
18,1.20802064719309,1.31523366632929,1.38607032390374
19,1.2032167031269,1.23283976869708,1.31648425327611
20,1.33134970027457,1.18327883420123,1.43439074410298
21,1.25927310258737,1.20405450298015,1.33977665480083
22,1.28609123490508,1.09062392292177,1.32855816812009
23,1.38331761484605,1.23940949393387,1.36786170226575
24,1.32664171063823,1.24607569904313,1.24942692170731
25,1.29300577905719,1.27884261668157,1.34598245554782
26,1.24793986486904,1.38630301258619,1.20742579769673
27,1.26012857608727,1.23214084266695,1.31494801132428
28,1.19906732422272,1.40449845977041,1.18842890465431
29,1.24441109942503,1.16570795578684,1.25273229160624
30,1.27364863938562,1.30128537854198,1.14373063003744
31,1.2113855065486,1.29655202840438,1.28436751159121
32,1.25776600568924,1.33196905719026,1.3446152723596
33,1.31770158421875,1.13308310557405,1.42525257515274
34,1.33495983588356,1.19719967368645,1.32155198798963
35,1.33280056859297,1.2816075351193,1.42937208141331
36,1.26274073627413,1.25135641347909,1.39429626783032
37,1.36556701136004,1.31718256263471,1.28712880139605
38,1.40312483571503,1.36351414592388,1.37798267633114
39,1.16093515043523,1.33318270744026,1.28713457506027
40,1.37844153711482,1.21556590165245,1.2563113338524
41,1.14631217676401,1.27382030084977,1.18012008413624
42,1.25521412821206,1.07462157906373,1.22531969930866
43,1.23037382546939,1.16501645133312,1.2466090884291
44,1.33979063747536,1.16349682916383,1.28097546927112
45,1.40812415044244,1.30693397932967,1.17810391789217
46,1.36669619756122,1.26867832645523,1.15108974378416
47,1.47370079686037,1.34337602870468,1.23331755625108
48,1.26374343382931,1.3432484693213,1.14010274970133
49,1.33939181247747,1.19762695864299,1.26970273411445
50,1.38528213353581,1.22934318862688,1.27019524349875
51,1.37981270665013,1.21446975558332,1.40570127662729
52,1.50318453403316,1.23244665431442,1.30044077644116
53,1.45815928567799,1.26374894312802,1.31963232708714
54,1.40674288350294,1.23340980104347,1.411586910209
55,1.38830831430604,1.21429524655639,1.28082366085022
56,1.38191869518239,1.24103047960777,1.20437653919717
57,1.47204403795942,1.26113686961552,1.26102624298818
58,1.28125942974591,1.29207011383979,1.22753317648326
59,1.31144176146751,1.25789756556072,1.2087034867764
60,1.54183681091986,1.06743874758327,1.36978048313403
61,1.47421810882025,1.19205488133903,1.33999304073492
62,1.26191537110589,1.17983692964699,1.23912156949119
63,1.3833665816187,1.27547011048309,1.21924722644655
64,1.40846581191566,1.3700170044758,1.2537095479412
65,1.27237418540208,1.24638040945074,1.11173646385385
66,1.4688291711629,1.16900624755294,1.29061295583279
67,1.24050669308707,1.19630260700261,1.32033932562083
68,1.29476531776242,1.18493862175994,1.14210214006964
69,1.5499122756984,1.1556773575112,1.238687758064
70,1.50172973796377,1.06851798512558,1.28842897519636
71,1.37450289176125,1.11862762392998,1.21464548553759
72,1.3074834456009,1.05559116767503,1.18776606601295
73,1.48334144338925,1.19238073708081,1.24887699460215
74,1.3102413562175,1.2894946247872,1.27176748751026
75,1.25824059228596,1.23246260195406,1.31287010163233
76,1.36006449874145,1.30129077820321,1.24461037133794
77,1.24974889191837,1.29400062530518,1.24264475506935
78,1.21710556205269,1.28791626763274,1.29897474852985
79,1.13463434208419,1.24812250680993,1.27208134828985
80,1.24206310672478,1.30664300535386,1.26570203658367
81,1.27023213902402,1.24516104396954,1.29911784445088
82,1.22152719070856,1.17632553151294,1.21357899887726
83,1.26536901291096,1.15900153511648,1.28998800958963
84,1.18696344353807,1.2021123841506,1.10792673372731
85,1.2173123655443,1.24128421936482,1.17586036748469
86,1.33343909568187,1.19576912464397,1.21384751581789
87,1.41870008387138,1.19753271431613,1.25127340175428
88,1.26923391599905,1.25504988786489,1.31933495989427
89,1.35883951059219,1.25473973368896,1.34188960365497
90,1.3204808599466,1.09267420533423,1.30922525839752
91,1.21140059770751,1.22354704465512,1.2809737822955
92,1.45742224763592,1.22308365236322,1.14743290623209
93,1.21919572864257,1.14671765836398,1.39103986172078
94,1.18846085777587,1.21334501849161,1.3288914842291
95,1.02640742545363,1.33257294128774,1.28095444259037
96,1.09805250056645,1.25942724859762,1.29483075189837
97,1.21513312680531,1.23323573282032,1.36940086448776
98,1.22565215261553,1.24100122018774,1.38207148906716
99,1.38290446611139,1.31407672103622,1.2448999286994
100,1.04756047802506,1.23247811350438,1.33884600682838
101,1.21361885508611,1.1723831536526,1.2256337323699
102,1.1524888990575,1.18409110921612,1.28299572228996
103,1.21560358033531,1.27587771759089,1.22422503225542
104,1.21935558304294,1.25787488483766,1.16525586141944
105,1.14907682352031,1.20788489785032,1.26687847436321
106,1.26020647861012,1.20575013286676,1.37419144100628
107,1.36817502802476,1.3271279284991,1.23484124832313
108,1.36761729128529,1.26685325347652,1.3077095071101
109,1.20666667215686,1.26892967663037,1.2902066942998
110,1.17679008379173,1.23239957562893,1.41501454978309
