frame,R1,R2,R3
1,1.22828175876456,1.22828175876456,1.22828175876456
2,1.13644730434606,1.17599500518848,1.21431423083565
3,1.07838400235221,1.18587277832804,1.1799673761983
4,1.13174316462446,1.14572373004042,1.1336033020424
5,1.22525121399268,1.19249449814375,1.19076607228678
6,1.12297728061935,1.17283254091558,1.20858291779139
7,1.21954288164398,1.15643646407304,1.12610221321576
8,1.16342042408416,1.22285779741513,1.18768963167976
9,1.18577168577316,1.14170036396028,1.1189719152483
10,1.24266163433605,1.21978975835393,1.18142226819553
11,1.18048273585461,1.16664187926566,1.16113456594186
12,1.22475175187889,1.2152348149491,1.12517171005068
13,1.17537913174898,1.1590547102618,1.17711345800717
14,1.16003511660988,1.20205742311085,1.16116126779838
15,1.15025559069657,1.12752165899537,1.11318228050517
16,1.17262254608349,1.16177239316254,1.180073966342
17,1.15362162533924,1.13593575203382,1.15642391599266
18,1.17262977556929,1.05870032238705,1.09536680493455
19,1.17455811576499,1.11260517467712,1.18548872592606
20,1.19164676291509,1.11115272842416,1.17536827554502
21,1.19274238114056,1.15085725994686,1.13191713029577
22,1.1561549836241,1.16281454638838,1.12363723233043
23,1.15055741146434,1.15623971907342,1.1086333140079
24,1.19648401868874,1.20470922618076,1.1397116810576
25,1.15691685636415,1.17444555868683,1.1207801565792
26,1.23017979015132,1.1763617429272,1.09492798443586
27,1.18218045711184,1.18363316579871,1.08018148391252
28,1.10584282090512,1.19764131667096,1.17574886821932
29,1.14367146551638,1.1686893975224,1.18520649138215
30,1.17290316817707,1.17481420995217,1.06111330509648
31,1.15914562872873,1.16234164968775,1.15757601126719
32,1.16551800721791,1.19165420080874,1.11465810045803
33,1.12303538879337,1.19512253982007,1.15115088679471
34,1.18434105317892,1.19310560973889,1.18658714754482
35,1.11259766289346,1.16016565872258,1.19048888593264
36,1.1213875103899,1.22557561750255,1.12370713875076
37,1.13704540566675,1.12513986554432,1.15014432717326
38,1.12432145637266,1.15869968048534,1.18397191533456
39,1.09027701293658,1.17069803191467,1.1324553897903
40,1.17678327023894,1.13200180442015,1.12615754725972
41,1.1327762256636,1.1823306580673,1.14629764424404
42,1.17001310021551,1.15220516543763,1.09012565615779
43,1.14932053087807,1.23880598181016,1.13775602663735
44,1.15603515008295,1.18250805975874,1.15823735345199
45,1.20580274917298,1.20175979577403,1.1332171062217
46,1.14837533987298,1.18580042460935,1.1644179725898
47,1.12072335065713,1.16757183136421,1.10826014734236
48,1.2079203480642,1.14567221254874,1.13137127252604
49,1.18341132400514,1.21364900547055,1.13594833064034
50,1.19461854633161,1.14966173682354,1.11562303589531
51,1.15866354394796,1.10817075164069,1.1258760632441
52,1.16021573877971,1.18593792777389,1.18232187750264
53,1.1436921597835,1.15966502054976,1.14587484747127
54,1.14562575415989,1.1562483318618,1.13385703461446
55,1.16299722101844,1.2251633167571,1.10298660041396
56,1.0913706473296,1.1673003732842,1.14569880559264
57,1.2437288978308,1.14072151146444,1.1418503826442
58,1.14965062036371,1.25296550583312,1.11413054725663
59,1.16350573637556,1.15639986263551,1.13501535165133
60,1.20238118894541,1.13733819251682,1.13981572930507
61,1.16557074284506,1.12261841423496,1.15560105626638
62,1.12349495915225,1.16091904429824,1.14085687335806
63,1.1656254146714,1.12383912904495,1.12393210315708
64,1.1482739643682,1.1236798278168,1.12778541810817
65,1.1567296804065,1.11743396459504,1.17413118348345
66,1.15609747060919,1.03527886640659,1.15575617889835
67,1.16508387879957,1.09624441598861,1.16441693096651
68,1.11672165240951,1.10351966563641,1.18680292128082
69,1.11249808035195,1.13382339717365,1.16544267218363
70,1.13432789317332,1.12770182545011,1.13170566501325
71,1.11550932621019,1.148182316203,1.09315051527753
72,1.18882605770086,1.16198892287894,1.13043169481013
73,1.20201044575246,1.17480923737244,1.13137334417856
74,1.21382415604314,1.092691399588,1.1143942644903
75,1.20980253088895,1.09315189704057,1.18438019092807
76,1.12209654003009,1.09464556964393,1.12481728615878
77,1.14755491311844,1.08975136363254,1.14302983750337
78,1.15460751689747,1.09258776520387,1.21517766086792
79,1.1398631081636,1.13252604042856,1.15597046219197
80,1.12999000543853,1.10294141673078,1.18877422646376
81,1.0527127396573,1.04263605259324,1.16845643772056
82,1.10647004622111,1.04624461831198,1.16294185436555
83,1.08534606594094,1.06515754616483,1.14707515620323
84,1.09937570996185,1.11896842110531,1.19265613287203
85,1.13486755999946,1.13295933391797,1.16714304023031
86,1.17158616329737,1.13792065943614,1.20222186879634
87,1.14534309765737,1.18898476084866,1.14627483529146
88,1.11133220462171,1.10864688870612,1.12535373154076
89,1.10576452998075,1.1404694847503,1.12522787593531
90,1.09709956308261,1.12867013317765,1.20591365351467
91,1.18836462461086,1.16777840934305,1.15648981526468
92,1.13745197502162,1.15397066210838,1.17642294291849
93,1.10529800559372,1.11977428391354,1.12664601001099
94,1.07638681315253,1.15827559859316,1.09441289918372
95,1.11956259005448,1.12289924244708,1.13159701066463
96,1.14701246979686,1.13272936288716,1.13714004269379
97,1.10599950969542,1.23160621573214,1.10107621608296
98,1.12363994556081,1.20736758681782,1.14134833621208
99,1.09876260050566,1.17067209044435,1.14186764274572
100,1.10257750147217,1.17697913177239,1.15861609695984
101,1.09918517564183,1.22102326598247,1.1427632182262
102,1.10187092293798,1.15194401949247,1.12001776102352
103,1.0679976343776,1.21608174440959,1.13254175223134
104,1.12176145825148,1.18534128833369,1.12577008788302
105,1.1723101507787,1.14307107501158,1.13434202009002
106,1.16272794895004,1.2019525899761,1.13926396909643
107,1.11818167047311,1.19557263338872,1.17232773283745
108,1.19269528254734,1.23211241795456,1.11979777593203
109,1.10682623075076,1.19119344072889,1.14963708647443
110,1.11797140261027,1.1802123146448,1.14663355952774
111,1.14647554469468,1.22531495318343,1.17413705895281
112,1.14055508650213,1.23795377460407,1.18617804721615
113,1.12619806648678,1.19986279671644,1.15080045389513
114,1.14783301131642,1.23079734284109,1.09616319288848
115,1.17048736092239,1.19709108396886,1.1584457050502
116,1.13123539925741,1.19485572180593,1.11913947358179
117,1.21758410553126,1.15109967633973,1.14896001175863
118,1.24593564416988,1.18977444374361,1.13794577543964
119,1.21854555034091,1.14592313787195,1.08503652971886
120,1.19129676044537,1.14022792418009,1.09557925274806
121,1.20759693463748,1.18091656730242,1.10440280846467
122,1.20935295246109,1.13920187580277,1.09605975930492
123,1.16491464034776,1.10918162837833,1.09862184077702
124,1.22114428557004,1.23261133752728,1.1086535675678
125,1.17080843286349,1.16724761005893,1.12686777602448
126,1.18131086708112,1.15565369481304,1.12721649033243
127,1.19482852115344,1.11428347649876,1.13890132405948
128,1.22798268013031,1.15009188274351,1.16793903505429
129,1.20344293451076,1.179570618238,1.12549286543884
130,1.19605070501223,1.12457909753656,1.09299247703584
131,1.17303221253074,1.17213885307789,1.10916003385652
132,1.19561476031775,1.1421049241306,1.15588731332965
133,1.15561707252053,1.15658751120023,1.1681328074199
134,1.17483404870552,1.17601125785069,1.13450515035856
135,1.19072090442432,1.16543809817296,1.10565403922361
136,1.20553019950851,1.17913711529869,1.09649212663356
137,1.22365495902652,1.19184378797187,1.14454161820247
138,1.15138576643934,1.19710774771204,1.20026659960065
139,1.16333714652317,1.23098282682759,1.11269549609266
140,1.20701313855912,1.15625511562249,1.17089876107629
141,1.20788514374232,1.19840059800134,1.19656712274519
142,1.17411834358724,1.17965506823362,1.18707630923522
143,1.2009200047908,1.19511537351163,1.16074098758048
144,1.13751220274071,1.12428777039003,1.17499188848683
145,1.18370114543599,1.16395990512555,1.17562813392025
146,1.17075866135371,1.2080630242438,1.14801880965676
147,1.1837451017507,1.13981073646418,1.11139271229764
148,1.13312895196443,1.11631096921655,1.14427725634856
149,1.15024713975883,1.13317781061154,1.16697092077304
150,1.14592871707879,1.12876001575516,1.20654092434254
151,1.20847325296405,1.10649487837773,1.17134173107698
152,1.17499732554631,1.15392265707224,1.1794971897957
153,1.17592751787322,1.18450658787201,1.14661382023742
154,1.20481246886129,1.17945765903391,1.14621635833329
155,1.20392299151344,1.16210145522585,1.14922836075796
156,1.14200683938402,1.19473674714905,1.18894906835198
157,1.10567311275343,1.17368431037401,1.15024075870492
158,1.17461070958415,1.14762340471747,1.15622572292841
159,1.1762483621167,1.13756985321343,1.20886942877099
160,1.19004056641195,1.13950620772762,1.15382251467974
161,1.1747992104835,1.17117450499608,1.15828008410486
162,1.17462816874583,1.14610412960156,1.11680475361121
163,1.21600764996641,1.16864874387079,1.13796981835997
164,1.19371178935768,1.1268693943609,1.1141060546265
165,1.18211609091317,1.18982941467227,1.13127994578216
166,1.19071587352576,1.15828466251408,1.10017272765847
167,1.15084220096525,1.19348109420357,1.14206857361076
168,1.16233523665988,1.18145774696817,1.11813349221016
169,1.19887132138384,1.19064441437034,1.10893108873884
170,1.16158938368461,1.14285467950828,1.08994216049978
171,1.15764057736689,1.202632186859,1.08761323546907
172,1.14538592504083,1.1859865867085,1.12752178422053
173,1.1617762464814,1.20793818938373,1.14702762822329
174,1.13512287806536,1.15095467132721,1.1594077168912
