frame,R1,R2,R3
1,16.9320757977639,16.9320757977639,16.9320757977639
2,17.3262125466741,17.6358417372224,18.0519085768436
3,18.1349176307055,18.3010127631434,18.7608364411319
4,17.6296732801712,18.0689459077547,17.7831529361207
5,17.4202706797249,17.6125639096562,18.0939547920933
6,19.6817632815236,18.662026552216,17.2062350516388
7,18.702309516767,17.3990265142074,16.667065498005
8,18.1107986048957,16.379539582118,16.5002113294224
9,18.0281932037009,16.9752699992523,18.4056768862504
10,18.0635499665378,17.3101066397197,18.7751156129181
11,19.4709929959637,17.7518599669097,17.6912313140483
12,18.8254220852862,16.7083979795004,18.1348074839989
13,19.3950626157847,16.6388598827634,18.7761904510887
14,19.2725049981154,16.1842200663605,19.7880617861544
15,18.2877902536044,16.0937988599284,18.7122127267901
16,18.0692163204945,16.8658652988465,18.1520400929203
17,18.3480971959028,16.6541064049997,18.8732936115483
18,17.6892949214408,16.4987919866364,19.5888239153667
19,17.2480800114037,16.7417926822306,19.1274354896145
20,16.9639680994258,18.2873574396299,19.8372770763934
21,17.6120203605139,17.8364940074103,18.4412218777625
22,18.2093479280352,18.382369422528,17.9800083451709
23,18.2442628843214,20.2001114281147,17.7954940354478
24,19.4019243445761,20.147253276018,18.4930388249505
25,19.3414669408671,21.4052699592144,18.3512824498052
26,19.0530111293493,20.2468326895335,18.5542014231086
27,19.9812414854859,20.6952906286535,17.875383821849
28,21.746396996469,20.644444574622,17.5366364977612
29,20.65820548101,19.1323926808148,17.249742169391
30,19.2081155584933,20.4755818085038,17.1899695503963
31,19.2995645480046,19.9931520836667,16.8943650606889
32,20.0812282183653,19.8703252219013,17.3760345873083
33,19.5016156161142,18.8951844287707,15.9980337719911
34,20.2925346822929,19.5933210251159,15.4963106721206
35,19.9762278297635,20.6804215414045,13.4769119450533
36,18.1111382369272,19.5992578692347,13.4539920694118
37,18.3590479080542,21.7114798602569,13.7418316613696
38,18.2772374008659,20.6699120295802,13.4727289229534
39,18.5251396676887,21.4214251611563,13.5710523296667
40,18.0515445145317,22.6192531073087,13.5590307746549
41,16.7406114385993,20.8189647034608,13.4801327242366
42,16.837212226688,21.1838634914379,13.531861955589
43,16.9344958744016,19.2068161133828,13.3424743820931
44,17.0376457897185,20.6342377332561,13.214874559048
45,15.6300616811013,19.6602958731814,13.2012265435135
46,15.9084623324435,18.6740249634214,13.140254704422
47,15.6267797979646,19.3138540213355,13.1662451985725
48,16.8873072485107,19.5689406482748,13.4656574739643
49,16.8783580896558,20.9339029163882,13.0089469574298
50,16.6273109064692,21.5181985492805,13.5201388587569
51,17.4614134388759,21.6901433862031,14.0411970450236
52,17.3722144127602,20.3722131592021,13.5645745014649
53,17.6048957025987,19.6211418270042,13.4571756817577
54,17.7703084514467,18.7386787720354,13.2634025477482
