frame,R1,R2,R3
1,7.50039276950501,7.50039276950501,7.50039276950501
2,7.67617671330637,7.82879372778307,7.97852905399438
3,8.06419043423829,8.01789301459119,8.04641640862281
4,7.87797811788024,8.0383751040639,7.77150445584189
5,7.81202768895876,7.81670826653734,7.83960326909434
6,8.60433536011204,8.39231718844579,7.41843808628188
7,8.30691854126312,7.68397967754846,7.33418867338831
8,7.86154555833555,7.30150273840991,7.15825827739126
9,8.04245923727009,7.56271641540567,7.9434499791233
10,7.85606055601274,7.70809121720335,8.22006446365801
11,8.45184805145124,7.90566193857904,7.67238364185239
12,8.05199633242625,7.41348011294737,7.96392068709016
13,8.45162115144417,7.29392827930003,8.21562237223354
14,8.50155932134093,7.09327608897905,8.6380328140929
15,8.1417839272993,7.04811025999438,8.32313292786441
16,8.08393163332482,7.42770799494785,8.01265933417084
17,8.15898743050736,7.40044539412874,8.27775659143753
18,7.80442191412542,7.15558641508028,8.70488501067825
19,7.45721711545604,7.36493211642614,8.48396472136513
20,7.42106454862657,8.12346116535756,8.95793912010348
21,7.58505228148817,7.91562396244735,8.32562312189988
22,7.73672738942962,8.12105976187958,8.03480612216849
23,7.86191351180181,8.85547096439724,8.03539916167719
24,8.27081723753931,8.82404994757054,8.25042768422706
25,8.25817952976996,9.15708335876747,8.2302879179758
26,8.12506696504749,8.70871183722811,8.21886671452466
27,8.41624951708777,8.87804035499366,7.98699162782621
28,9.08620979188284,8.96886106693769,7.69061041188091
29,8.59814892690792,8.35795993459722,7.40958161200939
30,8.10465079234809,9.10790496280127,7.22171483993675
31,8.08811033444849,8.76345366483711,7.08009703956296
32,8.45769857108333,8.87579756876359,7.35484739333684
33,8.24066137966463,8.18989293954359,6.67651239130183
34,8.61015465969498,8.47121660907852,6.46329946116872
35,8.57920683853047,8.8533679873356,5.89579907165507
36,7.91783039185833,8.44325728362746,5.83566752085492
37,7.91499987290759,9.45315727213371,5.81538383555871
38,7.87213661179328,8.95595259271914,5.73453679210793
39,7.95699769732203,9.32027402917911,5.74046232669731
40,7.72500903123264,9.96044478476524,5.70643116514664
41,7.60347554624115,9.05478730079945,5.71490648445808
42,7.52019695787553,9.39102758834663,5.64236568022328
43,7.6820513113264,8.43542357353142,5.56025526787135
44,7.77375447220546,9.1530044275245,5.55547149727137
45,7.13065230315521,8.61922065690836,5.62234457718584
46,7.022882577656,8.1062592335765,5.61030433955642
47,6.83882739636981,8.40604144520751,5.52929335083263
48,7.39941495140091,8.5835976078383,5.68932619613255
49,7.52698998658485,9.12686695546437,5.66764947389834
50,7.42335435124842,9.16598354435076,5.55008549162141
51,7.7166598440706,9.20806852994539,5.97066956139992
52,7.52735845942727,8.56164318664971,5.82011066073338
53,7.55764896584833,8.17543960895947,5.64917349480277
54,7.69251528831841,7.90634629129824,5.72390735901485
55,7.60735415361001,7.77361709225705,5.64484134316944
56,7.90925861886403,7.73171788454841,5.66495108316859
57,7.95481315178257,7.70688084399163,5.59186594448041
58,7.78518053406217,7.85307666814348,5.70440850784966
59,7.79116059908102,7.40456240939375,5.67571034387858
60,7.90068639736646,7.39446006777341,5.60398012253274
61,7.77353158341652,7.52318211375232,5.78736402093641
62,7.9878359348881,7.56984129216253,5.50986609388139
63,7.99848453757122,7.55431564060964,5.61356172545611
64,7.34944488291333,7.36368117898799,5.81443941237799
65,7.96160431684417,7.05620108563447,5.47120965015441
66,8.06000601258367,7.08325224472176,5.41224274177344
67,8.5670718482182,6.70658865711944,5.71366776855957
68,8.49922822039733,6.48579862817994,5.69063891544855
69,8.72090481188553,6.39919676484062,5.53666900468188
70,8.28716641629292,6.23075236138226,5.71852439247211
71,8.77173226890141,6.12807326356973,5.30815939313864
72,8.76092586428189,6.24703503086169,5.44982814543006
73,8.96436644500772,6.22395265940251,5.55505694856047
74,9.13380542641575,6.38010100823306,5.44896944682612
75,9.18779681694924,6.38074203220723,5.40214847528434
76,8.53826072647022,6.2781323747194,5.59775552284663
77,8.44772373447235,6.09149695503097,5.35249975050267
78,8.80271993407555,6.12095031407039,5.53563334281903
79,8.55017094528369,6.16182714959093,5.58721717639956
80,8.20120998261925,6.09659181884666,5.74747669510497
